register_id,name,created,modified,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,values_id,values_attribute_id,values_attribute_name,values_value,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,año_creacion,decada,periodo,periodo_modernizacion
﻿1130165632,Centre de disseny artístic i industrial de Catalunya,2001-05-09 22:00:00+00:00,2023-10-03 08:46:02.361269+00:00,30602,Badal,98,98.0,16,la Bordeta,3,Sants-Montjuïc,08014,BARCELONA,True,132124.0,20001.0,Tel.,933323262,56733070,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,65103003002002,427476.8312881365,4580255.395084074,41.37054716667234,2.1328006089685294,2001,2000.0,2001-2010,Intermedios
﻿75990171390,Escola Internacional Idiomes *Via Laietana,1996-09-17 22:00:00+00:00,2023-10-03 08:03:16.072094+00:00,177101,Via Laietana,45,45.0,2,el Barri Gòtic,1,Ciutat Vella,08003,BARCELONA,True,145833.0,20001.0,Tel.,933184770,56733069,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,65103003002001,431018.3284827903,4582017.1486291485,41.38672608276763,2.174943397790952,1996,1990.0,1991-2000,Intermedios
﻿75990274548,Metropol Centro de Idiomas,1996-09-17 22:00:00+00:00,2023-10-03 08:17:21.700359+00:00,247659,Pau Claris,87,87.0,7,la Dreta de l'Eixample,2,Eixample,08010,BARCELONA,True,148300.0,20001.0,Tel.,933018241,56733069,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,65103003002001,430652.2289647184,4582389.827917773,41.39005120987149,2.170522432694373,1996,1990.0,1991-2000,Intermedios
﻿92086007341,Escola Professional de la Dona,1987-11-23 23:00:00+00:00,2022-11-28 07:52:05.017889+00:00,31707,C Sant Pere Més Baix,7,7.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,08003,BARCELONA,True,161632.0,20001.0,Tel.,934049106,56733069,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,65103003002001,431090.83977256936,4582043.322388524,41.38696803670603,2.17580760715867,1987,1980.0,1980-1990,Antiguos
﻿92086007341,Escola Professional de la Dona,1987-11-23 23:00:00+00:00,2022-11-28 07:52:05.017889+00:00,31707,C Sant Pere Més Baix,7,7.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,08003,BARCELONA,True,161632.0,20001.0,Tel.,934049106,56733070,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,65103003002002,431090.83977256936,4582043.322388524,41.38696803670603,2.17580760715867,1987,1980.0,1980-1990,Antiguos
﻿92086029334,Centre de Formació de Persones Adultes Prosperitat,1989-01-26 23:00:00+00:00,2024-01-30 08:08:41.196619+00:00,168304,C Joaquim Valls,82,82.0,52,la Prosperitat,8,Nou Barris,08016,BARCELONA,True,167681.0,20001.0,Tel.,933545216,56733068,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,65103003002000,431461.3998788083,4588387.620615266,41.4441406460086,2.179520478790486,1989,1980.0,1980-1990,Antiguos
﻿92086028200,Centre de Formació de Persones Adultes El Carmel,1988-10-05 23:00:00+00:00,2023-09-08 08:30:34.187888+00:00,120400,C Farnés,54,54.0,37,el Carmel,7,Horta-Guinardó,08032,BARCELONA,True,168171.0,20001.0,Tel.,934200268,56733068,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,65103003002000,429275.952484416,4586468.875858044,41.42666978297473,2.153585608166182,1988,1980.0,1980-1990,Antiguos
﻿97275093600,Centre Educatiu Stucom Pelai,1997-10-01 22:00:00+00:00,2022-02-14 12:10:36.361685+00:00,250904,C Pelai,8,8.0,1,el Raval,1,Ciutat Vella,08001,BARCELONA,True,198588.0,20001.0,Tel.,933015696,56733068,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,65103003002000,430210.9323509744,4581921.9513924215,41.38579903052059,2.165298464715733,1997,1990.0,1991-2000,Intermedios
﻿97275093600,Centre Educatiu Stucom Pelai,1997-10-01 22:00:00+00:00,2022-02-14 12:10:36.361685+00:00,250904,C Pelai,8,8.0,1,el Raval,1,Ciutat Vella,08001,BARCELONA,True,198588.0,20001.0,Tel.,933015696,56732073,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,65103003001005,430210.9323509744,4581921.9513924215,41.38579903052059,2.165298464715733,1997,1990.0,1991-2000,Intermedios
﻿99400684217,Escola Espai,1996-09-17 22:00:00+00:00,2022-01-20 07:15:57.654785+00:00,110803,Carrer d'Entença,178,182.0,9,la Nova Esquerra de l'Eixample,2,Eixample,08029,Barcelona,True,439422.0,20001.0,Tel.,93 163 53 53,56733070,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,65103003002002,428487.0615164,4581769.092842611,41.38427089148227,2.1447005895933424,1996,,1991-2000,Intermedios
﻿92086013662,Centre de Formació de Persones Adultes Francesc Layret,1985-06-20 22:00:00+00:00,2021-04-08 09:50:52.932712+00:00,31707,C Sant Pere Més Baix,55,55.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,08003,BARCELONA,True,164724.0,20001.0,Tel.,933170044,56733068,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,65103003002000,431320.7785094772,4582180.221099458,41.38822070726499,2.178542012071502,1985,1980.0,1980-1990,Antiguos
